kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_8.ptx 200 : 1557504 8719808 0 0 0 0 0 0 0 
_8.ptx 202 : 1557504 13162592 0 0 0 0 0 0 0 
_8.ptx 203 : 1557504 7019040 0 0 0 0 0 0 0 
_8.ptx 205 : 519168 5890720 0 0 0 0 0 0 0 
_8.ptx 207 : 519168 2840960 0 0 0 0 0 0 0 
_8.ptx 209 : 519168 4359968 0 0 0 0 0 0 0 
_8.ptx 210 : 519168 0 0 0 0 0 0 0 0 
_8.ptx 213 : 519168 3580256 0 0 0 0 0 0 0 
_8.ptx 69 : 519168 3709920 0 0 0 0 0 0 0 
_8.ptx 70 : 519168 3753312 0 0 0 0 0 0 0 
_8.ptx 71 : 519168 8271744 0 0 0 0 0 0 0 
_8.ptx 72 : 519168 3355456 0 0 0 0 0 0 0 
_8.ptx 73 : 519168 6028224 0 0 0 0 0 0 0 
_8.ptx 74 : 519168 4243808 0 0 0 0 0 0 0 
_8.ptx 75 : 519168 2069344 0 0 0 0 0 0 0 
_8.ptx 76 : 519168 4319936 0 0 0 0 0 0 0 
_8.ptx 77 : 519168 0 0 0 0 0 0 0 0 
_8.ptx 78 : 519168 1935968 0 0 0 0 0 0 0 
_8.ptx 79 : 519168 3490688 0 0 0 0 0 0 0 
_8.ptx 80 : 519168 4346592 0 0 0 0 0 0 0 
_8.ptx 81 : 519168 3453344 0 0 0 0 0 0 0 
_8.ptx 82 : 519168 9695968 0 0 0 0 0 0 0 
_8.ptx 83 : 519168 1823936 0 0 0 0 0 0 0 
_8.ptx 84 : 519168 1837280 0 0 0 0 0 0 0 
_8.ptx 85 : 519168 1858912 0 0 0 0 0 0 0 
_8.ptx 88 : 519168 1767456 0 0 0 0 0 0 0 
_8.ptx 90 : 519168 87467200 0 0 0 0 0 0 0 
_8.ptx 91 : 519168 4333856 0 0 0 0 0 0 0 
_8.ptx 93 : 519168 1797376 0 0 0 0 0 0 0 
_8.ptx 95 : 519168 87073344 0 0 0 0 0 0 0 
_8.ptx 96 : 519168 4330240 0 0 0 0 0 0 0 
_8.ptx 98 : 519168 1881312 0 0 0 0 0 0 0 
